Timestamp,Value,Type
4:06:35 pm.507,"Distance: 208.71 cm\r\n",received
4:06:37 pm.334,"Distance: 209.59 cm\r\n",received
4:06:39 pm.374,"Distance: 210.00 cm\r\n",received
4:06:41 pm.406,"Distance: 210.39 cm\r\n",received
4:06:43 pm.453,"Distance: 209.59 cm\r\n",received
4:06:45 pm.514,"Distance: 210.36 cm\r\n",received
4:06:47 pm.548,"No echo received! Check sensor connection.\r\n",received
4:06:47 pm.548,"Sensor error! No valid reading.\r\n",received
4:06:49 pm.581,"Distance: 11.29 cm\r\n",received
4:06:51 pm.616,"Distance: 191.13 cm\r\n",received
4:06:53 pm.680,"No echo received! Check sensor connection.\r\n",received
4:06:53 pm.680,"Sensor error! No valid reading.\r\n",received
4:06:55 pm.712,"Distance: 22.51 cm\r\n",received
4:06:57 pm.727,"Distance: 23.56 cm\r\n",received
4:06:59 pm.774,"Distance: 193.31 cm\r\n",received
4:07:01 pm.807,"Distance: 217.50 cm\r\n",received
4:07:03 pm.848,"Distance: 218.77 cm\r\n",received
4:07:05 pm.893,"Distance: 222.17 cm\r\n",received
4:07:07 pm.936,"Distance: 219.62 cm\r\n",received
4:07:09 pm.992,"No echo received! Check sensor connection.\r\n",received
4:07:09 pm.992,"Sensor error! No valid reading.\r\n",received
4:07:12 pm.110,"Distance: 217.87 cm\r\n",received
4:07:14 pm.94,"Distance: 194.67 cm\r\n",received
4:07:16 pm.110,"Distance: 194.21 cm\r\n",received
4:07:18 pm.147,"Distance: 196.13 cm\r\n",received
4:07:20 pm.193,"Distance: 194.85 cm\r\n",received
4:07:22 pm.222,"Distance: 194.58 cm\r\n",received
4:07:24 pm.266,"Distance: 193.24 cm\r\n",received
4:07:26 pm.329,"Distance: 194.99 cm\r\n",received
4:07:28 pm.347,"Distance: 194.48 cm\r\n",received
4:07:30 pm.381,"Distance: 35.19 cm\r\n",received
4:07:32 pm.412,"Distance: 194.19 cm\r\n",received
4:07:34 pm.547,"Distance: 194.77 cm\r\n",received
4:07:36 pm.521,"No echo received! Check sensor connection.\r\n",received
4:07:36 pm.521,"Sensor error! No valid reading.\r\n",received
4:07:38 pm.542,"Distance: 37.76 cm\r\n",received
4:07:40 pm.589,"Distance: 209.35 cm\r\n",received
4:07:42 pm.617,"Distance: 210.68 cm\r\n",received
4:07:44 pm.699,"Distance: 211.12 cm\r\n",received
4:07:46 pm.701,"Distance: 212.38 cm\r\n",received
4:07:48 pm.747,"Distance: 210.65 cm\r\n",received
4:07:50 pm.813,"Distance: 211.53 cm\r\n",received
4:07:52 pm.830,"Distance: 212.09 cm\r\n",received
4:07:54 pm.889,"Distance: 210.80 cm\r\n",received
4:07:56 pm.905,"Distance: 210.80 cm\r\n",received
4:07:58 pm.974,"Distance: 211.11 cm\r\n",received
4:08:00 pm.992,"Distance: 210.75 cm\r\n",received
4:08:03 pm.43,"Distance: 211.11 cm\r\n",received
4:08:05 pm.71,"Distance: 210.68 cm\r\n",received
