_id,x,y,z,timestamp
67d684d28f4f34655f851c47,-0.06,-0.43,0.12,1742111954.8173842
67d684d38f4f34655f851c48,-0.06,-0.43,0.18,1742111955.241232
67d684d38f4f34655f851c49,0,-0.43,0.12,1742111955.8326788
67d684d48f4f34655f851c4a,0,-0.43,0.12,1742111956.2639828
67d684d48f4f34655f851c4b,0,-0.43,0.12,1742111956.7540736
67d684d58f4f34655f851c4c,-0.06,-0.43,0.12,1742111957.2602208
67d684d58f4f34655f851c4d,-0.06,-0.43,0.18,1742111957.7649274
67d684d68f4f34655f851c4e,0,-0.49,0.12,1742111958.2904694
67d684d68f4f34655f851c4f,-0.06,-0.43,0.18,1742111958.8021405
67d684d78f4f34655f851c50,-0.06,-0.43,0.12,1742111959.313351
67d684d78f4f34655f851c51,0,-0.43,0.12,1742111959.8270378
67d684d88f4f34655f851c52,0,-0.43,0.12,1742111960.3178225
67d684d88f4f34655f851c53,-0.06,-0.43,0.18,1742111960.793809
67d684d98f4f34655f851c54,-0.06,-0.43,0.12,1742111961.2988222
67d684d98f4f34655f851c55,-0.06,-0.43,0.18,1742111961.8744936
67d684da8f4f34655f851c56,0,-0.43,0.18,1742111962.3867354
67d684da8f4f34655f851c57,-0.06,-0.43,0.12,1742111962.8980908
67d684db8f4f34655f851c58,-0.06,-0.49,0.18,1742111963.4102623
67d684db8f4f34655f851c59,-0.06,-0.37,0.18,1742111963.9233332
67d684dc8f4f34655f851c5a,0,-0.37,0.12,1742111964.331919
67d684dc8f4f34655f851c5b,-0.06,-0.43,0.12,1742111964.843222
67d684dd8f4f34655f851c5c,-0.06,-0.43,0.12,1742111965.3557773
67d684dd8f4f34655f851c5d,-0.06,-0.49,0.12,1742111965.8423295
67d684de8f4f34655f851c5e,-0.06,-0.37,0.12,1742111966.3789523
67d684de8f4f34655f851c5f,0,-0.43,0.12,1742111966.8530984
67d684df8f4f34655f851c60,-0.06,-0.43,0.18,1742111967.4045358
67d684df8f4f34655f851c61,-0.06,-0.43,0.12,1742111967.8633091
67d684e08f4f34655f851c62,-0.06,-0.43,0.12,1742111968.366713
67d684e08f4f34655f851c63,0,-0.43,0.18,1742111968.8731108
67d684e18f4f34655f851c64,-0.06,-0.43,0.12,1742111969.3778934
67d684e28f4f34655f851c65,-0.06,-0.43,0.12,1742111970.4950862
67d684e28f4f34655f851c66,-5.25,-5.68,1.16,1742111970.4994953
67d684e28f4f34655f851c67,-0.06,-0.43,0.12,1742111970.9925163
67d684e38f4f34655f851c68,0,-0.49,0.18,1742111971.3974802
67d684e38f4f34655f851c69,-0.06,-0.43,0.12,1742111971.9098454
67d684e48f4f34655f851c6a,-0.06,-0.37,0.18,1742111972.4203887
67d684e48f4f34655f851c6b,-0.12,-0.67,0.06,1742111972.9332778
67d684e58f4f34655f851c6c,-0.06,-0.43,0.18,1742111973.4433181
67d684e58f4f34655f851c6d,-0.06,-0.37,0.12,1742111973.96313
67d684e68f4f34655f851c6e,-0.06,-0.43,0.12,1742111974.4691074
67d684e68f4f34655f851c6f,-0.06,-0.43,0.12,1742111974.9850905
67d684e78f4f34655f851c70,0,-0.43,0.12,1742111975.4951
67d684e88f4f34655f851c71,-0.06,-0.43,0.12,1742111976.009712
67d684e88f4f34655f851c72,0,-0.43,0.12,1742111976.5174563
67d684e98f4f34655f851c73,0,-0.37,0.18,1742111977.034657
67d684e98f4f34655f851c74,-0.06,-0.43,0.18,1742111977.5431066
67d684ea8f4f34655f851c75,0,-0.43,0.12,1742111978.0582378
67d684ea8f4f34655f851c76,-0.06,-0.43,0.12,1742111978.5646482
67d684ea8f4f34655f851c77,-0.06,-0.43,0.12,1742111978.9949563
67d684eb8f4f34655f851c78,-0.06,-0.37,0.18,1742111979.4776053
67d684ec8f4f34655f851c79,0,-0.43,0.18,1742111980.0054152
67d684ec8f4f34655f851c7a,0,-0.37,0.18,1742111980.5111427
67d684ed8f4f34655f851c7b,-0.06,-0.43,0.12,1742111981.0271657
67d684ed8f4f34655f851c7c,-0.06,-0.43,0.18,1742111981.5349984
67d684ee8f4f34655f851c7d,0,-0.43,0.18,1742111982.0516608
67d684ee8f4f34655f851c7e,0,-0.43,0.18,1742111982.5587292
67d684ef8f4f34655f851c7f,0,-0.43,0.18,1742111983.0621357
67d684ef8f4f34655f851c80,0.24,-0.49,0.24,1742111983.5824606
67d684f08f4f34655f851c81,0,-0.43,0.12,1742111984.0956511
67d684f08f4f34655f851c82,-0.06,-0.37,0.18,1742111984.6070125
67d684f18f4f34655f851c83,-0.06,-0.43,0.12,1742111985.1241403
67d684f18f4f34655f851c84,0,-0.43,0.18,1742111985.6311877
67d684f28f4f34655f851c85,0,-0.43,0.18,1742111986.1425517
67d684f28f4f34655f851c86,-0.06,-0.43,0.12,1742111986.6549773
67d684f38f4f34655f851c87,0,-0.43,0.12,1742111987.0696917
67d684f38f4f34655f851c88,0,-0.43,0.12,1742111987.5755854
67d684f48f4f34655f851c89,-0.06,-0.43,0.12,1742111988.0883896
67d684f48f4f34655f851c8a,-0.06,-0.43,0.18,1742111988.5650496
67d684f58f4f34655f851c8b,0,-0.43,0.12,1742111989.0736134
67d684f58f4f34655f851c8c,-0.06,-0.43,0.12,1742111989.624535
67d684f68f4f34655f851c8d,-0.06,-0.43,0.18,1742111990.0801768
67d684f68f4f34655f851c8e,-0.06,-0.43,0.12,1742111990.649269
67d684f78f4f34655f851c8f,0,-0.49,0.12,1742111991.1610422
67d684f78f4f34655f851c90,0,-0.43,0.12,1742111991.6730645
67d684f88f4f34655f851c91,0,-0.43,0.12,1742111992.2879524
67d684f88f4f34655f851c92,-0.06,-0.43,0.12,1742111992.6963832
67d684f98f4f34655f851c93,0,-0.43,0.12,1742111993.2091851
67d684f98f4f34655f851c94,-0.06,-0.43,0.18,1742111993.6183732
67d684fa8f4f34655f851c95,-0.06,-0.43,0.12,1742111994.1306295
67d684fa8f4f34655f851c96,-0.06,-0.43,0.12,1742111994.6418202
67d684fb8f4f34655f851c97,0,-0.43,0.12,1742111995.1606183
67d684fb8f4f34655f851c98,-0.06,-0.43,0.18,1742111995.6660237
67d684fc8f4f34655f851c99,-0.06,-0.43,0.12,1742111996.177715
67d684fc8f4f34655f851c9a,-0.06,-0.43,0.18,1742111996.6895292
67d684fd8f4f34655f851c9b,0,-0.43,0.12,1742111997.202042
67d684fd8f4f34655f851c9c,-0.06,-0.37,0.18,1742111997.716036
67d684fe8f4f34655f851c9d,-0.06,-0.61,0.06,1742111998.2263668
67d684fe8f4f34655f851c9e,-0.06,-0.43,0.12,1742111998.7386901
67d684ff8f4f34655f851c9f,-0.06,-0.43,0.12,1742111999.2508187
67d684ff8f4f34655f851ca0,0,-0.31,0.18,1742111999.6777399
67d685008f4f34655f851ca1,0,-0.37,0.18,1742112000.1834607
67d685008f4f34655f851ca2,0,-0.37,0.18,1742112000.6874413
67d685018f4f34655f851ca3,-0.06,-0.37,0.12,1742112001.1941192
